Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Date,Date_reference,Date_sort,Date_hierarchy,Area,Area_reference,Area_sort,Area_hierarchy,Register,Register_reference,Register_sort,Register_hierarchy,Notes
"7,405",7405,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cardiff East,CC411,41,W11000029,Obesity (patients aged 16+),OB,16,,
"67,842",67842,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cardiff South East,CC412,42,W11000029,Patients registered at GP practice,LIST,1,,
"6,178",6178,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cardiff South East,CC412,42,W11000029,Obesity (patients aged 16+),OB,16,,
"43,093",43093,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,City & Cardiff South,CC413,43,W11000029,Patients registered at GP practice,LIST,1,,
"3,036",3036,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,City & Cardiff South,CC413,43,W11000029,Obesity (patients aged 16+),OB,16,,
"109,883",109883,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cardiff North,CC421,44,W11000029,Patients registered at GP practice,LIST,1,,
"8,704",8704,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cardiff North,CC421,44,W11000029,Obesity (patients aged 16+),OB,16,,
"75,234",75234,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cardiff South West,CC422,45,W11000029,Patients registered at GP practice,LIST,1,,
"7,644",7644,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cardiff South West,CC422,45,W11000029,Obesity (patients aged 16+),OB,16,,
"54,541",54541,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cardiff West,CC423,46,W11000029,Patients registered at GP practice,LIST,1,,
"4,641",4641,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cardiff West,CC423,46,W11000029,Obesity (patients aged 16+),OB,16,,
"67,526",67526,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Central Vale,CC431,47,W11000029,Patients registered at GP practice,LIST,1,,
"7,671",7671,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Central Vale,CC431,47,W11000029,Obesity (patients aged 16+),OB,16,,
"36,998",36998,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Eastern Vale,CC432,48,W11000029,Patients registered at GP practice,LIST,1,,
"2,948",2948,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Eastern Vale,CC432,48,W11000029,Obesity (patients aged 16+),OB,16,,
"32,422",32422,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Western Vale,CC433,49,W11000029,Patients registered at GP practice,LIST,1,,
"3,008",3008,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Western Vale,CC433,49,W11000029,Obesity (patients aged 16+),OB,16,,
"32,581",32581,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North Cynon,CC501,50,W11000030,Patients registered at GP practice,LIST,1,,
"5,094",5094,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North Cynon,CC501,50,W11000030,Obesity (patients aged 16+),OB,16,,
"40,284",40284,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North Merthyr Tydfil,CC502,51,W11000030,Patients registered at GP practice,LIST,1,,
"6,541",6541,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North Merthyr Tydfil,CC502,51,W11000030,Obesity (patients aged 16+),OB,16,,
"38,665",38665,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North Rhondda,CC503,52,W11000030,Patients registered at GP practice,LIST,1,,
"5,342",5342,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North Rhondda,CC503,52,W11000030,Obesity (patients aged 16+),OB,16,,
"52,242",52242,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North Taf Ely,CC504,53,W11000030,Patients registered at GP practice,LIST,1,,
"7,457",7457,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North Taf Ely,CC504,53,W11000030,Obesity (patients aged 16+),OB,16,,
"26,787",26787,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Cynon,CC505,54,W11000030,Patients registered at GP practice,LIST,1,,
"4,373",4373,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Cynon,CC505,54,W11000030,Obesity (patients aged 16+),OB,16,,
"21,620",21620,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Merthyr Tydfil,CC506,55,W11000030,Patients registered at GP practice,LIST,1,,
"2,689",2689,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Merthyr Tydfil,CC506,55,W11000030,Obesity (patients aged 16+),OB,16,,
"49,940",49940,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Rhondda,CC507,56,W11000030,Patients registered at GP practice,LIST,1,,
"8,105",8105,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Rhondda,CC507,56,W11000030,Obesity (patients aged 16+),OB,16,,
"48,120",48120,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Taf Ely,CC508,57,W11000030,Patients registered at GP practice,LIST,1,,
"4,855",4855,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Taf Ely,CC508,57,W11000030,Obesity (patients aged 16+),OB,16,,
"33,986",33986,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Blaenau Gwent East,CC601,58,W11000028,Patients registered at GP practice,LIST,1,,
"5,431",5431,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Blaenau Gwent East,CC601,58,W11000028,Obesity (patients aged 16+),OB,16,,
"39,236",39236,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Blaenau Gwent West,CC602,59,W11000028,Patients registered at GP practice,LIST,1,,
"6,578",6578,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Blaenau Gwent West,CC602,59,W11000028,Obesity (patients aged 16+),OB,16,,
"68,197",68197,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Caerphilly East,CC603,60,W11000028,Patients registered at GP practice,LIST,1,,
"9,807",9807,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Caerphilly East,CC603,60,W11000028,Obesity (patients aged 16+),OB,16,,
"63,293",63293,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Caerphilly North,CC604,61,W11000028,Patients registered at GP practice,LIST,1,,
"9,086",9086,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Caerphilly North,CC604,61,W11000028,Obesity (patients aged 16+),OB,16,,
"56,284",56284,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Caerphilly South,CC605,62,W11000028,Patients registered at GP practice,LIST,1,,
"7,141",7141,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Caerphilly South,CC605,62,W11000028,Obesity (patients aged 16+),OB,16,,
"55,564",55564,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Monmouthshire North,CC606,63,W11000028,Patients registered at GP practice,LIST,1,,
"7,816",7816,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Monmouthshire North,CC606,63,W11000028,Obesity (patients aged 16+),OB,16,,
"50,130",50130,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Monmouthshire South,CC607,64,W11000028,Patients registered at GP practice,LIST,1,,
